title,plot,type,runtime,genre,vector
Pooh's Heffalump Movie,"A Heffalump is heard trumpeting in the hundred acre woods. Winnie the Pooh, Tigger, and Piglet are scared and rush to Rabbit's house for advice. Roo joins them and they all agree that ...",movie,68 min,"Animation, Comedy, Family, Fantasy, Musical, Mystery","[-1.98337913e-01 -5.89116335e-01  3.97124231e-01  7.73030758e-01
  6.60960153e-02  5.11549413e-04  7.90228307e-01  1.72253102e-01
  1.91669315e-01 -4.44265157e-01  3.40160728e-01 -8.09326470e-02
 -4.02403951e-01  5.62530085e-02 -9.06975508e-01  1.25290632e-01
 -6.97448671e-01  4.99255925e-01  1.39961123e-01 -6.25472963e-01
 -9.70523834e-01  5.31851768e-01 -4.44127589e-01  9.38740671e-02
  6.37443721e-01  6.68304563e-02 -5.14741242e-02  1.10844031e-01
  7.66936615e-02  1.13157988e+00 -2.13707298e-01 -7.44934380e-02
 -1.13693997e-02 -4.21983749e-01 -2.24818096e-01 -2.54884124e-01
 -8.18459466e-02  1.52034715e-01  3.97177815e-01  2.37465590e-01
 -4.76493835e-01 -2.73965657e-01  6.97134674e-01  4.99625146e-01
  2.01655313e-01  3.47565472e-01 -9.10945475e-01  4.63581204e-01
 -6.05163723e-02 -5.10701418e-01 -3.46976757e-01  1.13895416e+00
 -4.97660935e-01 -6.89241648e-01  3.98217589e-02 -4.04761881e-01
  4.54759657e-01 -5.22975028e-02  4.89231169e-01  1.34598449e-01
 -6.26800954e-01  1.52092159e-01  4.54461455e-01 -6.27883196e-01
 -2.68988073e-01  9.94316638e-02  7.41046190e-01  5.71788788e-01
 -3.96259516e-01  1.06844343e-01 -3.49584371e-02  2.66460657e-01
  7.68649876e-01 -2.00786769e-01  6.73119128e-01 -6.93660796e-01
 -4.15852755e-01 -6.39554620e-01  8.43904167e-02 -3.39342892e-01
  3.43781531e-01 -5.50512597e-03 -4.40529913e-01 -4.41504419e-01
 -3.56264979e-01  8.10714215e-02  1.18531644e-01 -5.34533978e-01
 -3.48281980e-01 -3.54188502e-01 -6.26929641e-01 -1.83027416e-01
  3.57261181e-01 -1.44008875e-01  5.62782884e-01  7.64770687e-01]"
Prom,A group of teenagers get ready for their high school prom.,movie,104 min,"Comedy, Drama, Family, Romance","[-0.92227066 -1.3204575   0.9707747   0.8982846  -0.24690618 -0.22824548
  1.253982    1.3968825  -0.08388567 -0.91609454  0.36491925 -0.22077282
  0.11918075 -0.20353127  0.16035114  0.4578814  -0.91347504 -0.6171016
  0.14495765 -0.171978   -1.3964288   0.69574094 -0.81941724 -0.39236397
  0.54346216  1.5934893   0.3674698   0.41702956 -0.46730882  1.6969327
 -1.0416455   0.9023912   0.7910919   0.5643773  -0.47584966  0.01626883
 -0.6925417   0.6446813   0.2801102   0.52771914 -1.0002695  -0.3001203
 -0.76780844  0.12392354  0.7675281   0.08622372 -0.78586435 -0.32461673
 -0.87888706 -1.3020273   0.7073992   0.7774053  -0.07547113 -0.01924416
 -0.20387366  0.12399992  1.1052095  -1.0864067  -0.07697442 -0.15816325
 -1.2205704  -0.20983125  0.03283525 -0.05885525  0.24155481  0.18245618
  0.5146237  -0.00625694 -0.1561715  -0.2894522  -1.1293603   0.29697832
  0.9742121  -0.35136217  0.31468755  0.12494867 -0.29648393  0.19131455
 -0.79031336 -0.07598105 -1.0132924   0.12758946 -0.5992584   0.05006641
  1.4760075   0.36614048  0.05300614  0.07643785  0.2383951   0.49827617
 -0.50470734 -0.72008276  0.57520294  0.5600739  -0.1872356   0.06976461]"
Queen of Katwe,A Ugandan girl sees her world rapidly change after being introduced to the game of chess.,movie,124 min,"Biography, Drama, Sport","[ 0.15390356 -0.41932654  0.04950561  0.23064178 -0.41584286 -0.32403672
  0.4997034   0.01229849  0.57191414 -0.14281784 -0.19795673 -0.14047821
 -0.5625193  -0.03377163 -0.20219694  0.3978704  -0.27639464  0.358544
 -0.04734359  0.5290696  -0.62815744  0.36735034 -0.07860097 -0.09512687
  0.28822562 -0.09232668 -0.42029604 -0.9337411  -0.25229347  0.75211316
 -0.24931549 -0.3245767   0.65711975 -0.25193784 -0.8401828  -0.18472354
 -0.09670214  0.6828976   0.12197822  0.3485415  -0.3996342  -0.4024434
 -0.06784476 -0.00189595  0.42070127  0.13509043 -0.68992263  0.17838936
  0.4173344   0.3659985   0.28458863  0.00332807 -0.9804227  -0.1850266
 -0.23406585 -0.3060926   0.7375544  -0.17332204  0.14780118 -0.07944947
 -0.24282087 -0.55571955 -0.36205092 -0.2597421  -0.5187319   0.03033577
  0.53346753 -0.37305441  0.15604486  0.15089811 -0.61365646 -0.12381319
  0.44961318  0.20428099  0.07595871 -0.60626334 -0.15092163 -0.45353603
 -0.21137892 -0.01369852  0.43997088 -0.00702672  0.06209307 -0.45220947
  1.2066466   0.30200255 -0.17271113  0.545222   -0.07178414  1.1117841
 -0.33582544  0.656353    0.30240557 -0.08948091 -0.08612943  0.1625206 ]"
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,movie,111 min,"Animation, Adventure, Comedy, Drama, Family, Fantasy","[-0.7724967  -0.9138861   0.4472497   0.5452266  -0.7793655  -0.55803454
  0.30946454  0.18934605 -0.14839192 -0.2156738   0.9980078  -0.7704916
  0.13780262  0.25915352 -0.647694    0.70577383 -0.9299467  -0.76398695
 -0.13302971 -0.22013053 -1.953812    0.7767712  -1.2709572  -0.01536494
  0.5768355   0.13834028  0.92409563  1.034755   -0.6546106   0.61994755
  0.04059859  0.81998193  0.7827661   1.6730785  -0.04298744 -0.5508001
 -0.4656692   0.65278924  0.5301023  -0.19057909 -0.5878612  -0.79073244
  0.53968525  0.72216535  0.4679347   0.34230033 -0.30667546 -0.68406814
 -0.38243833 -1.0223411   1.5501761   1.2694731  -0.48394778 -0.05965666
 -0.2783131  -0.30847216  1.6852487  -0.352902   -0.03160783 -0.4316789
 -0.41934854  0.39684662 -0.12152286 -0.21265522  0.6604762   0.2341662
  0.688213   -0.10306495 -0.93486977 -0.2531512  -0.76989496  0.09621277
  1.0506504  -0.29300728 -0.47171968  0.47953802 -0.6339208   0.63057286
 -1.0182548  -0.878464    0.3183959  -0.25789207 -0.9433743  -0.21313012
  0.70882493  0.507011   -0.51917577  0.01731351  0.12084163  0.75867206
  0.02040473 -0.41556638  1.6193844   0.1746992  -0.37255868  0.21945243]"
Red Tails,"A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard.",movie,125 min,"Action, Drama, History, War","[-0.6929438  -0.12322214  0.01449174  0.28146064  0.289586   -0.44717127
  0.6474608   0.5440532  -0.7371826  -0.09238636 -0.06353852 -0.06720853
 -0.15360594  0.05153185 -0.7431162   0.41303083 -0.9238527   0.3722076
  0.37662038 -0.8944591  -1.2311689  -0.07698215 -0.47112244  0.28385872
  0.20000884 -0.25688246  0.5386447  -0.195784    0.05686453  1.1272917
  0.13203603  0.4602853  -0.11582918 -0.56797063 -1.0683562  -0.37910622
  0.00190017  0.92837673 -0.40624318 -0.1524016  -0.18487856 -0.48712415
  0.13362905  0.9416623   0.24465463  0.38841307 -0.21252581 -0.11972571
  0.2199314  -0.4394196  -0.07776432  0.94452304 -0.07953094 -0.65099704
 -0.4018257   0.10318922  0.45911232 -0.02808926  0.27591306  0.6853657
 -0.51199716  0.4971652   0.0615429  -0.7372067   0.06318727  0.15697268
  0.99100995  0.8135502  -0.5310285  -0.6241969   0.21435976 -0.01366511
 -0.0429698  -0.07350916  0.501343   -0.21843633 -0.17114282 -0.5105415
 -0.36173517  0.11362953 -0.62834555  0.22665578 -0.6337435  -0.5734996
  0.00339663  0.6274595   0.46849853 -0.02422765 -0.12493518  0.02427399
  0.25635803  0.01119806  1.1270858  -0.04742208  0.50192237 -0.16331227]"
Remember the Titans,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,movie,113 min,"Biography, Drama, Sport","[ 0.20517664 -0.40247044 -0.20718138  0.702713   -0.15047182 -0.27103457
  0.05906918 -0.70448446 -0.76046175  0.05841036 -0.49611676 -0.07984096
 -0.07035366  0.08385692 -0.05343058  0.19108157 -0.58522326  0.3211529
  0.25266874 -0.7864568  -0.09836406  0.05314656 -0.5901606  -0.01095615
  0.64042157 -0.35028088  0.39195266  0.2669047   0.17384899  0.43815884
  0.0853692  -0.22987668 -0.14193848 -0.50130934  0.3402463  -0.61296886
  0.09486327  1.0084051   0.05667031 -0.26058125  0.19384706  0.02760184
 -0.37679437 -0.18949406 -0.30499014  0.32462624  0.5148109  -0.6956987
  0.23615831 -0.18112291 -0.09273124  0.33268154  0.0964547  -0.28542364
  0.00692803  0.33417794 -0.67789716 -0.24874508 -0.22343056  0.10917238
 -0.10160694  0.66444975  0.15616712 -0.05632031  0.47611532  0.48036313
  0.44498086  0.00820939  0.08539466  0.344277   -0.16645992  0.12897949
 -0.05734058 -0.05621958 -0.07555308  0.2536699  -0.02647234 -0.06723853
  0.05096924 -0.50763327  0.05009314 -0.02846185 -0.6182043  -0.58478874
  0.59080845  0.549004    0.16323636 -0.5635522   0.0117882   0.39709267
 -0.25996706 -0.05944963  0.9975088  -0.14305706 -0.01866714  0.03559462]"
Return to Oz,"Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful.",movie,113 min,"Adventure, Family, Fantasy, Horror, Mystery","[-0.583704   -0.99561924  0.18713199  0.42328206 -0.5247604  -0.17795317
  0.6042487  -0.10935064  0.04789914  0.04053891 -0.25266883  0.13534689
 -0.27661026 -0.0131973   0.06763985  0.44700146 -0.37041345 -0.06973531
  0.4488535   0.13428685 -0.8252084   1.1141483  -0.3704612  -0.44974995
 -0.03155197 -0.17489447  0.60113734  0.6523361  -0.09567896  0.8952942
 -0.20490874 -0.06811336  0.5282011   0.23796259 -0.3300275  -0.9918411
  0.13304316  0.14544919  0.7692315  -0.13938527 -0.43175462  0.12364203
  0.43049014 -0.6674741   0.35070428 -0.01206813  0.05693595  0.0150755
  0.10548511  0.00660201  0.28008357  0.30034953 -0.06493851 -0.94231194
  0.53138    -0.60163623  0.18922079 -0.22371845  0.05198167 -0.31314075
 -0.5963612   0.15710789 -0.18356799 -0.1543776   0.05742421  0.02764108
  0.6438289  -0.568036   -0.47801614  0.2876781  -0.46114197  0.20904891
  0.70150894  0.23505992 -0.28090468 -0.03922432 -0.4428842  -0.03513521
 -0.65106624 -0.20544696  0.14349549  0.2634334   0.6729683  -0.3426062
  0.9272857  -0.07661027 -0.08601829  0.4127206  -0.02227896  0.632615
 -0.5883086   0.2545326  -0.15417807 -0.01575214 -0.18731146  0.1023039 ]"
Robin Hood,The story of the legendary outlaw is portrayed with the characters as humanoid animals.,movie,83 min,"Animation, Adventure, Comedy, Family, Romance","[-0.4550698  -0.92215014  0.2944775   0.86658424 -0.04355693 -0.4202856
  1.4083565   0.823918   -0.69143486 -0.08957839  0.5085002   0.4344538
  0.29030818 -0.46164528 -0.8782048   0.25099117 -0.49308518  0.5574752
  1.4824749  -0.3412884  -1.0797614   0.79978585 -0.6410203   0.06948584
  0.30212343  0.21510562 -0.28195083 -0.6843417  -0.63154936  1.5894392
 -0.04597982  0.627898   -0.6091551  -0.02915978 -0.8111552  -0.65521264
  0.17029834  0.78269476 -0.21255429  0.01270048 -0.7434387   0.03327229
 -0.03645873  0.5379367   0.15232955  0.6545923  -0.81244946  0.01580159
 -0.51740724  0.21131985 -0.06587981  0.7939121  -0.3913523  -1.218002
  0.19197348 -1.1328943   0.08524397 -0.26268014 -0.35652858  0.22910278
 -0.47096688  0.42634934 -0.24305291 -0.14480928  0.26278073  0.19032189
  0.37409312  1.3521726  -0.7769766  -0.45017543 -0.210261    0.31963083
  0.50339794 -0.23265377  0.05448795 -0.32041925 -0.48616105 -0.47249478
 -0.19535887 -0.69446796 -0.69001895  0.16615528 -0.540045    0.01052901
 -0.01528491  0.03074455  0.09747736  0.07793778 -0.05876385  0.17212105
 -0.39873967  0.6186702   0.38274413 -0.27795506  0.9296768   0.24727184]"
Rogue One: A Star Wars Story,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,movie,133 min,"Action, Adventure, Sci-Fi","[-0.17516068 -0.7487187   0.55670017  0.578085    0.24756882 -0.07227818
  0.08524986  0.20392875 -0.2219732  -0.26518375  0.10946058  0.14216667
 -0.3922994   0.04083026 -0.55689687  0.29489177 -0.69081205  0.12544449
  0.30064696 -0.33157247 -0.4418816  -0.0219659   0.01942101  0.05794677
  0.291493   -0.04192258  0.27684492 -0.425572    0.17363356  1.4015181
  0.08560096 -0.26818684 -0.28562552 -0.35913232 -0.8174368  -0.10769577
 -0.03478462  0.5607679  -0.27351323  0.00383215  0.29268026 -0.09008256
 -0.00357376  0.28100163  0.0361521   0.18574503 -0.46260908  0.13184752
  0.23650596  0.14219771 -0.41133004  0.78368086  0.23494585 -0.2950272
 -0.00283122 -0.5425921   0.20920828 -0.23421632  0.03279727 -0.00197695
 -0.45449802 -0.06400935 -0.1307298  -0.57933706 -0.05120575 -0.00495871
  0.22311614  1.1073581  -0.3088799  -0.22251879  0.26776168  0.24503635
  0.55003315 -0.37624216  0.00952956 -0.2099816  -0.1951092  -0.69514996
  0.32151654 -0.06597526 -0.28692475  0.01458763 -0.11033821 -0.47989163
 -0.36196622  0.26552954  0.16239677 -0.06541191 -0.55374765 -0.10038918
 -0.15781513 -0.03389568  0.61440384  0.12558307  0.10235704  0.5483016 ]"
Rookie of the Year,"When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs.",movie,103 min,"Comedy, Family, Fantasy, Sport","[ 0.5011797  -0.7676443  -0.12370582  0.42854625 -0.29058588 -0.7587162
  0.6841867  -0.10293271 -0.09694914  0.2631349   0.10377575  0.16296789
 -0.14299959 -0.12121621 -0.27374658 -0.28213117  0.05074686  0.63321495
  0.49957812 -0.2738835  -0.66537505  0.29002473 -0.0543531   0.2509645
  0.29955125 -0.09065075  0.45982677 -0.5468339   0.1388454   0.71451557
 -0.56325555  0.08795106 -0.14032985  0.33905396 -0.5892882  -0.30883294
  0.5640825   0.4111232  -0.3497317   0.45673382 -0.03983121  0.03345707
 -0.68420416  0.46982798  0.24195449  0.61675453 -0.8615509  -0.1345284
  0.14582416  0.25915727 -0.36020863  0.179302   -0.2547996  -0.11445881
 -0.27037597 -0.6162969   0.21739572 -0.1555719   0.2436187   0.10276932
 -0.9038718  -0.2515751   0.23061499 -0.6264282   0.21304429  0.15334912
  0.6846175   0.64693063 -0.65354085  0.09732877 -0.48085618 -0.1297825
  0.889513   -0.43503863 -0.22518176 -0.29585218 -0.52537787 -0.2587641
  0.2962703   0.16104615  0.23212205 -0.1443033  -0.02236663 -0.22860637
  0.62279814 -0.5793239   0.5597988   0.3569851  -0.76924914  0.09790766
 -0.5827744   0.21327168  0.33147007 -0.386819    0.1559067   0.4735595 ]"
Roving Mars,A pair of uncrewed vehicles transmit images from Mars.,movie,40 min,"Documentary, Short","[ 0.08695129 -0.2239005   0.12258272  1.0557369  -0.16084227  0.42352515
  0.21000329 -0.05571063 -0.03817366 -0.52409256  0.06714305  0.1826843
 -0.7208275  -0.52344203 -0.3667335   0.19913648 -0.67570424 -0.15663254
 -0.1926494  -0.7075311  -0.42078826  1.2282615  -0.22001833 -0.01714683
  0.6054166   0.5410111   0.94277143  0.8024967  -0.5331763   0.7976649
  0.11203888  0.00717504 -0.7152174  -0.65328795 -0.72753793 -0.9137261
 -0.15259475  1.7264597   0.38206428  0.22511749 -0.34012094 -0.20978072
 -0.5237341   0.06276405  0.27643275  0.29474753  0.4265374   0.14231323
  0.599285   -0.49117583  0.5050541   0.373707   -0.5705647  -0.926957
 -0.9076765  -0.58755994  0.74496555 -0.5985023  -0.18426016  0.09926578
 -0.23718244  0.56990385 -0.2779523   0.34861785 -0.09044531  0.82952845
  0.64841723  0.2922695  -0.1095088  -0.28813922 -0.3193109  -0.52765435
  0.2802874   0.00922112 -0.3232008  -0.34059638 -0.71286774 -0.36682767
 -0.16184187  0.00509293 -0.35314608  0.7516883  -0.31627136 -1.0384974
 -0.01247516  0.13301928  0.63111836 -0.50819635  0.07803041  0.5533288
 -0.85101056  0.24314202  0.4546373   0.31972522 -0.13937083  0.2980415 ]"
Saludos Amigos,Disney animators tour South America and present four animated shorts inspired by their trip.,movie,42 min,"Animation, Short, Family, Fantasy, Music","[-0.6509917   0.44723964  0.4985087   1.0257709   0.06103507 -0.25920185
  1.4561571   0.96255267 -0.59760296 -0.24524449  0.29795974 -0.3853827
  0.0759571  -0.60210645 -0.06585044 -0.09948862 -0.7185412   0.3348269
  0.56358576 -1.1259767  -0.66958475 -0.3908387  -0.87030435  0.23977356
 -0.09079662 -0.07565906 -0.15372548  0.320199   -0.673018    1.109629
  0.26519984  0.71503794 -0.38685587 -0.22298574 -0.728155   -0.60257465
  0.36677408  1.1951586  -0.68484473 -0.6738261  -0.51041067 -0.5133346
 -0.6365662   0.15190844  0.34207526  0.76505744 -0.10364698 -0.47094962
  0.23339444 -0.44797415  0.09434205  0.18503192 -0.7493326  -0.3731137
 -1.0863369  -0.6292391   0.12360698 -0.01594575  0.15041772  0.8799516
 -0.4581752   1.1088117  -0.15937464  0.11972779  0.42541295  1.0640945
  0.59257936  1.4355084  -0.44019634  0.11105942  0.4394911   0.22316745
  0.31465754 -0.05203623  0.66098213 -0.18779187  0.16220209 -0.7038749
 -0.63110065  0.352699   -0.91062844 -0.1258608  -0.7616319  -0.6524738
 -0.14850983  0.7530879  -0.1057059  -0.20971887 -0.48620793 -0.14580484
 -0.18468204  0.13382545  1.3117616   0.04354402 -0.0095925  -0.5803265 ]"
Saving Mr. Banks,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",movie,125 min,"Biography, Comedy, Drama","[-0.24006307 -0.18347286  0.4000893   1.0026948  -0.07875337  0.05636181
  0.5556759   0.21483837  0.6284439  -0.39983508  0.01830024 -0.0349464
 -0.15255298 -0.6696628  -0.2381664  -0.18289132 -0.57539016  0.166918
  0.41230333 -0.94341946 -0.61952066  0.5194389  -0.20436107  0.10876855
  0.72195005  0.06304971  0.5554181   0.58120656 -0.03550703  0.58045274
 -0.22609662  0.18048061 -0.89972335 -0.34356558 -0.7406098  -0.6841552
  0.25213584  0.7136715  -0.06179649  0.17772286 -0.26091754  0.18850696
 -0.75290257  0.43321967 -0.04680918  0.1103282  -0.05871307  0.02682638
  0.77393574 -0.8787399  -0.10790261  0.52211344 -0.6311056  -1.1217155
 -0.98560375 -0.01336219  0.2631553  -0.0960933  -0.20177184  0.16832833
 -0.37921074  0.49136063 -0.2702403   0.09844128 -0.32738382  0.5451855
  0.54465264  0.6279428  -0.39226258 -0.5320693   0.45858976 -0.28412017
  0.31102762 -0.13215987  0.1509385  -0.15933417 -0.28193346 -0.28864852
  0.05127875 -0.18922251 -0.33836183  0.62011594 -0.7224276  -0.67175776
 -0.3031533   0.60330325  0.5026857  -0.15484446 -0.18904053  0.06219767
 -0.4500339   0.03501472  1.036801    0.04638934  0.26328146 -0.01968487]"
Secretariat,"Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown.",movie,123 min,"Biography, Drama, Family, History, Sport","[-0.84441787 -0.9953512   1.2967844   1.0603567  -0.12273958 -0.45034498
  1.2220465   0.9675578   0.10272652 -0.91261435  0.27145547  0.22123544
 -0.06808981 -0.03216156 -0.14548188 -0.01880231 -0.40899932 -0.23098674
  0.21481094 -0.35478956 -0.6566559   1.3206856  -1.1464124  -0.21584332
  0.10759225  0.37795377 -0.48689926  0.04268435 -0.5091676   1.695895
 -0.24159992  0.30494827  0.12021568  1.0749483   0.09991752 -0.27026868
 -0.6879558   0.5829984   0.7221275   0.5776437  -0.99848914 -0.67831385
 -0.16760921 -1.1746709   0.20628363  0.26522273 -1.1518916   1.7359004
 -0.33076215 -0.78135026  0.17969386  1.2241396   0.13373733 -0.65163374
  0.03299953 -0.46067005  1.2821052  -0.8899726  -0.08796945  0.19144765
 -1.0659274   0.4743353   0.29489282 -0.4182375   0.9452773  -0.21765311
  1.1072084  -0.35293072 -0.684691    0.19543648 -0.9930881   0.91012144
  0.48822844 -0.6074827  -0.26883698 -0.04838425  0.0674867   0.02270137
 -1.0596291  -0.82226497  0.0318969  -0.59407485 -0.4931606  -0.3913224
  0.9795249   1.3735919   0.5864305   0.33481354  0.08572207  0.10248951
 -0.56508833 -0.6118738   0.39178574  0.02287236 -0.57780933  0.1945637 ]"
The Simpsons Movie,"After Homer deliberately pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the family are declared fugitives.",movie,87 min,"Animation, Adventure, Comedy","[-0.06170415 -0.61034673 -0.04343184  1.0105655   0.37478253 -0.6978411
  0.5735325  -0.0183844  -0.52650857 -0.44956383 -0.12711628 -0.16904724
  0.19141133 -0.19008839 -0.7482051   0.15273212 -0.7568884   0.9140188
  0.0570702  -0.86384654 -0.34788266 -0.07259405 -0.48507622  0.05150006
  0.38225117 -0.03595908  0.31644127 -0.48883525 -0.09188303  1.3075866
 -0.21866979  0.20091178 -0.5962124  -0.37187013 -0.6752221  -0.33171475
  0.18277067  1.0620443  -0.07763853 -0.04991311 -0.5078494   0.4483056
 -0.25369084  0.7295523  -0.17899948  0.59766155 -0.15407853  0.6628189
  0.0638477   0.05346892 -0.2499537   0.7209375   0.2602806  -0.01587478
 -0.14723325 -0.4656663  -0.18257932 -0.01567738 -0.07340431  0.21497513
 -0.42206565  0.37796938  0.36048403 -0.14903422  0.06714708 -0.16357334
 -0.21467394  0.69833803 -0.5732519  -0.63263613  0.06101407 -0.13785784
  0.29283684 -0.19192821  0.5356924  -0.41301787 -0.18177517 -0.92634773
  0.26071122 -0.23423202 -0.05325246 -0.3271786  -0.41969037 -0.01726115
  0.54710764  0.8595634   0.07676955 -0.53955597 -0.17433555 -0.18635875
 -0.40904734 -0.18039994  0.5795674  -0.04566364  0.03193152  0.1595477 ]"
Sister Act,"When a worldly singer witnesses a mob crime, the police hide her as a nun in a traditional convent where she has trouble fitting in.",movie,100 min,"Comedy, Crime, Family, Music","[-0.2191444  -1.2073911  -0.1687839   0.8532026  -0.33053103 -0.32907075
  1.1889684   1.0493311  -0.4856367  -0.4334597   0.5887     -0.26501843
 -0.29640722 -0.46617377 -0.6391947   0.02532684 -0.91220194  0.4608978
  0.7675862  -1.0027876  -0.69330007  0.3575108  -0.05530876  0.33663726
  0.54895735  0.31572095  0.30594528 -0.4667409   0.07506827  1.674721
 -1.0169153   0.00743163 -0.46059442 -0.14037424 -0.9664663  -0.20947753
  0.00813967  0.6427614  -0.34284097  0.41180563 -0.20485963  0.5260834
 -0.51002145  0.6164384   0.0942023   1.1128606  -0.07540411  0.13313076
 -0.44123065 -0.22470024 -0.24116698  0.76043034 -0.6577425  -0.90424705
 -0.24466427 -0.7778691   0.12076715 -0.20482546  0.07278505  0.6900972
 -0.80286807  0.45517457  0.14013869 -0.59893405  0.5373453   0.05214983
  0.8529275   0.35159528 -0.9565345  -0.86661947  0.20472682  0.49483603
  0.7796293  -0.45806134  0.47650084 -0.2011291  -0.10999828 -1.1669137
  0.04400882 -0.27551615 -0.53725934  0.13194163 -0.5859465   0.4317235
 -0.14116083 -0.0416624   0.18152373  0.12473673 -0.05489694  0.15666175
 -0.03831698  0.20278506  1.0387429  -0.1208168   0.31796592  0.09107088]"
Sister Act 2: Back in the Habit,Showgirl Deloris Van Cartier (Whoopi Goldberg) returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,movie,107 min,"Comedy, Family, Music","[ 0.06002077 -0.63789856  0.41822466  0.17578745  0.19744977  0.05412838
 -0.02201398  0.3839899   0.12043224 -0.00569619  0.13983999  0.17892656
 -0.27469772  0.16903454 -0.21111867 -0.04763495 -0.3290189   0.32695955
  0.14342634  0.00995061 -0.6182345   0.22714992 -0.00357921  0.00834194
  0.3528863   0.03005692 -0.01062462 -0.33138412  0.3152309   0.9049187
 -0.25388834  0.01003583  0.07218242  0.01597409 -0.38734823 -0.24645816
  0.09303801  0.5723435   0.01013917 -0.08845874 -0.28945342 -0.07705224
 -0.38094676 -0.22717673  0.10466931  0.20531815 -0.16901997  0.13430059
  0.12646152 -0.02229658 -0.50795263  0.32079092 -0.02579348 -0.25906777
  0.07591344 -0.6632564  -0.24313293 -0.5053372   0.29310802  0.00614565
 -0.487631   -0.28929195 -0.14755037 -0.22200003 -0.11860172  0.0713147
  0.22158785  0.05094233 -0.28649184 -0.40732217 -0.22369838  0.18450692
  0.4694324  -0.24127184  0.15769634 -0.33155754 -0.0020401  -0.28221542
 -0.07288378  0.14247808 -0.1118611   0.21194124 -0.00833873 -0.19601563
  0.16368943  0.09292053  0.06509006 -0.04361785 -0.19572139  0.09233885
 -0.0275126   0.17814676  0.226058    0.3153427  -0.23794052  0.30943656]"
Sleeping Beauty,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",movie,75 min,"Animation, Family, Fantasy, Musical, Romance","[-0.3315584  -0.37389702  0.20039207  0.6420496   0.14343643  0.27209777
  0.22135276  0.0696467  -0.08829093 -0.32104182  0.10424724 -0.15850726
 -0.5688391  -0.46667773 -0.41819528  0.27436855 -0.75522685 -0.00474668
 -0.24853308 -0.7106558  -0.4342544   1.006772    0.00359656  0.03735244
  0.6474783   0.05968414  0.36417672  0.29431483  0.10560016  1.065401
  0.41048688  0.12648162 -0.05239999 -0.4129575  -0.15955682 -0.33716673
 -0.2951516   0.9626876   0.9397907   0.4033223  -0.14608993 -0.0077306
 -0.486861    0.7323434   0.56509864  0.39109915  0.0617995  -0.3139607
 -0.5288763  -0.48608744  0.14427277  0.2871916  -0.5789875  -1.2540429
 -0.3645002  -0.14308527  0.8977735  -0.24639352 -0.09421934  0.13923177
 -0.5078495   0.33898482 -0.04457843 -0.35036385 -0.7317142   0.2589857
  0.14473867  0.1050592  -0.09927708 -0.13570264 -0.06005785 -0.39946583
  0.75351167 -0.12626766 -0.25696975 -0.38902125 -0.4694997  -0.88858956
  0.4995867   0.09765949 -0.34335336  0.68854284 -0.86238134 -1.0028771
  0.08645228  0.5055498   0.6690597  -0.04630815 -0.44355136  0.29922724
 -0.8328559   0.2493456   0.22490025  0.25906616 -0.07483302  0.11646899]"
